cpf;rg;nome;data_nascimento;cidade_nascimento73772193637;214750534;Enid Reichel;07/06/1915;Bakersfield
18997980189;949484718;Eldred Paucek;17/02/1979;Fremont
31868517052;632143951;Aubree Tromp;22/01/1995;Riverside
71351236340;951414614;Avery Dicki;28/03/1926;Norfolk
84913116288;608074989;Yesenia Bergstrom;21/04/2005;Chandler
49275690704;138469439;Mariana Deckow;07/09/2009;Dallas
24051432630;129689368;Mavis Smitham;13/10/1938;Nashville-Davidson
93741260629;448635089;Else Mills;20/05/1936;Reno
37741565523;234556553;Amina Rath;06/03/1997;Austin
77962055283;101441973;Moses Green;24/04/1929;Fort Worth
74808425550;609196062;Adela Toy;23/08/1980;Mesa
32683623687;420605006;Brad Bednar;17/07/1994;Denver
51265796099;792547944;Kevon Feeney;02/04/2001;Columbus
76326094303;521802277;Princess Murphy;05/11/1913;Minneapolis
72710597805;112884120;Darrell Eichmann;30/06/1939;Anaheim
74279437737;659719931;Merl Rippin;10/06/1931;Philadelphia
32177292787;806840592;Eileen Koelpin;14/05/1936;Santa Ana
17414876310;818819362;Elisabeth Homenick;18/07/1941;Miami
38989895167;478933890;Virgil Rutherford;25/01/1931;Fremont
86566636690;197605585;Vickie Johns;14/12/1908;Baton Rouge
87936524357;365651223;Janae Lowe;12/09/1968;San Jose
24569099957;531418395;Cade Torphy;21/04/1968;San Jose
43809116401;444547145;Augusta Leuschke;31/10/1919;Columbus
75521503281;943209449;Alyson Cartwright;07/07/1905;North Las Vegas
54323802638;266912809;Keanu Wilkinson;04/11/1955;Boise
40602641185;496570563;Naomie Lesch;04/06/1940;Fort Worth
41257826155;324183775;Orlo Rutherford;11/06/1952;Corpus Christi
60991697278;183349247;Macey Rempel;07/06/1950;St. Petersburg
71573343500;486637901;Andrew Ledner;18/04/1913;Miami
57918270068;703974767;Phyllis Marvin;29/03/1978;San Diego
55086771337;572126724;Hellen Mosciski;07/12/2021;Madison
12382675235;715169773;Tre Connelly;06/10/1949;Baltimore
98108795484;658977595;Berta Wintheiser;31/10/1998;San Jose
22841919962;809935206;Liana Kling;14/04/1996;Philadelphia
43251380033;545333074;Wendell Rowe;02/03/1979;Baltimore
55746466813;780175798;Fabiola Olson;25/01/1902;St. Petersburg
53339426659;594628874;Colin Goldner;28/10/1961;Birmingham
15496815846;715926005;Arely Corkery;20/07/1940;Fremont
89408271149;779963005;Mallie Jewess;31/08/1936;Stockton
29586345410;778400930;Hanna Lang;15/09/1961;Laredo
85307634986;246494700;Arvilla Sanford;29/05/1986;Oakland
40275669737;152312054;Alisha Gutmann;29/01/1977;Colorado Springs
20622284181;435649121;Edmond Bode;15/10/1947;Irving
18217821153;176006437;Leon Schamberger;15/05/1914;Garland
82010613995;440682187;Freddie Kling;19/06/1934;Santa Ana
28749540688;572352770;Hilbert Strosin;07/05/1945;Jersey
78689954841;322139101;Marquis Collins;31/05/1983;Boise
33716209805;100634234;Francisco Grimes;17/03/1950;Albuquerque
87330608882;400291636;Laney Jerde;12/11/1931;Chula Vista
94621195722;241577821;June Jenkins;21/09/1909;Riverside
82473875747;243906344;Jessy Hyatt;27/09/1917;Indianapolis
20207713113;589371003;Ibrahim Becker;25/10/1930;Nashville-Davidson
26039003001;701551623;Aliya Fahey;21/06/2005;Detroit
19256133208;618379165;Eunice Johns;18/12/1965;Cincinnati
72688509426;760509030;Birdie Kunde;27/01/1902;Phoenix
48067610310;370324089;Esperanza Considine;25/08/1907;Tucson
37450715262;891571442;Reggie Nitzsche;02/11/1922;Irving
21676305927;760088547;Colton Hickle;20/02/1928;Baltimore
86226250152;824599850;Otha Wisoky;18/01/1930;Virginia Beach
83798648114;450710453;Jacinthe Kuhn;18/01/2019;Long Beach
44071809765;563936951;Noe Dicki;10/07/1974;Newark
64542860708;392186946;Bryana Abernathy;05/09/1932;North Las Vegas
67675588372;553656769;Sonny Kemmer;26/12/1964;Minneapolis
74972679668;692279116;Jorge Denesik;26/10/2002;Irving
25646890492;980110273;Kenna Smitham;03/02/1919;Arlington
62782123779;424650342;Ubaldo Adams;29/03/1981;Phoenix
42992774798;139134008;Winona Farrell;11/02/1969;Oklahoma
54401436812;582443443;Josie Schiller;19/07/1955;New Orleans
90802414682;169831013;Joseph Renner;27/12/1990;New Orleans
32698041267;176177350;Martina Hudson;15/12/1970;Miami
12459921684;841275875;Emely Nolan;12/11/1949;Aurora
63906952517;502370598;Araceli Abbott;13/06/1944;Dallas
82989660006;288463549;Marielle DuBuque;05/07/1953;Seattle
98764423843;752069209;Corrine Halvorson;25/01/1910;Phoenix
80601939143;282144749;Flavio Mueller;26/07/1961;Fort Wayne
29434112421;648472685;Brandi Thiel;20/11/1944;Memphis
77862561952;147125877;Velva Christiansen;27/05/1994;Memphis
83019085135;252239145;Madalyn McLaughlin;02/07/1949;Lubbock
89537854752;911187280;Jaiden Tremblay;28/02/1965;Detroit
75281254216;574858856;Dario Deckow;22/09/1916;Lincoln
47023652801;580109506;Viola Price;24/04/1934;Laredo
27363098361;825865195;Veronica Mayert;24/07/1990;Pittsburgh
66534071973;429634088;Richard Orn;16/11/2011;Bakersfield
27769463902;423271489;Terry Waters;15/03/2003;Oakland
20779233173;355089763;Consuelo Jast;20/06/2003;Aurora
42588379967;957242712;Onie Schaden;30/10/1940;Chesapeake
88853174771;288637993;Jarret Dare;31/01/1960;Washington
77446544321;789468116;Valentine Altenwerth;23/09/1968;Lubbock
51745273223;673843719;Jabari Prosacco;22/05/1946;North Las Vegas
27642151755;852530723;Tanya Kris;01/02/1901;Baton Rouge
13530642373;813587150;Lacey Mayer;01/01/2010;San Francisco
62661470707;792193568;Dewitt Glover;01/08/1923;Tampa
93184924413;952263622;Pete Considine;13/10/1957;Baltimore
68075870557;705092492;Juliana Weissnat;01/10/1936;Glendale
85658505959;713201954;Kelton Jacobson;19/01/1968;Nashville-Davidson
17604052881;572411494;Rosina Sipes;21/03/1929;Greensboro
13742636104;330152726;Alena Howell;31/12/1990;Toledo
56538313211;731115171;Stephen Conn;13/07/1973;Washington
46142701820;156521215;Oscar Kovacek;16/12/2014;El Paso
71614664055;227313955;Gabrielle Trantow;13/09/1930;Lubbock
42546295258;180275769;Henriette Gibson;13/02/1986;Irvine
44798555287;836433750;Tevin Gusikowski;15/10/1962;Newark
49413125667;492880327;Jerry Champlin;12/01/1989;Corpus Christi
20471027000;474346796;Josianne Altenwerth;17/04/1974;Irvine
59702988300;825994493;Kaylah Herzog;23/11/1918;Columbus
63399710116;720835465;Berenice Rohan;22/02/1995;Memphis
11433382399;808018816;Llewellyn Klocko;26/06/1933;St. Paul
61389658526;599559815;Rafaela Murray;12/12/2015;Cleveland
25080067416;119668403;Angela Wiza;04/10/1902;Milwaukee
98392809039;368375759;Quentin Upton;18/09/1963;San Antonio
79721070099;189622365;Elta Gaylord;10/05/1993;Pittsburgh
36012957286;741950031;Fredy Wehner;12/12/1952;North Las Vegas
19256582426;456488316;Ethel Kilback;08/09/1949;Long Beach
73479808719;586312870;Anne Doyle;24/08/1948;Las Vegas
88499772460;870451694;Elton Spinka;04/02/2021;Newark
26232260088;780652800;Andre Sipes;21/05/1992;Orlando
74837760312;489056953;Judson Schaden;26/08/1904;Durham
68035655725;706303899;Lou Heidenreich;05/07/1927;Cleveland
40259006090;122630050;Velda Lockman;03/03/1977;Newark
51663294886;656467852;Jovan Wilkinson;01/07/1950;Bakersfield
95946675726;474201252;Ora McLaughlin;03/06/1938;Arlington
48410901400;502744314;Shayna Keebler;06/09/1942;Miami
42304182319;464639059;Marietta Haag;03/12/1967;Fremont
35378411564;281820361;Eliza Nader;13/06/1977;Lincoln
41421396506;610059081;Jayda Kshlerin;24/07/1984;Oakland
79810116005;250587881;Obie Marvin;08/08/1951;Denver
84247931113;809621300;Geovany Erdman;10/12/1908;Columbus
56484331874;187013253;Quinn Bailey;29/03/1928;Miami
47528949415;409377003;Elvie Hoeger;13/03/2003;Plano
54839851490;749726710;Chesley Emmerich;03/10/1963;Baltimore
40357919350;922398450;Madelyn Heller;16/09/2009;Indianapolis
47656634274;965260322;Edwardo Blanda;17/10/2012;Boise
46959787824;650758607;Waino Okuneva;23/11/1950;Long Beach
